gid,entidad,geom,fna,gna,nam,fdc,sag
30313,1,POINT(-60.6288989999999 -32.9593169999999),"Universidad Nacional de Rosario Facultad de Ciencias Exactas, Ingeniería y Agrimensura",Universidad Nacional,"de Rosario Facultad de Ciencias Exactas, Ingeniería y Agrimensura",Ministerio del Interior,IGN
30314,1,POINT(-60.900389452 -31.4004558419999),Universidad Nacional del Litoral Facultad de Ciencias  Veterinarias/Facultad de Ciencias Agrarias,Universidad Nacional,del Litoral Facultad de Ciencias  Veterinarias/Facultad de Ciencias Agrarias,Ministerio del Interior,IGN
30315,1,POINT(-60.6630969999999 -32.938796),Universidad Nacional de Rosario Facultad de Ciencias Bioquímicas y Farmaceuticas,Universidad Nacional,de Rosario Facultad de Ciencias Bioquímicas y Farmaceuticas,Ministerio del Interior,IGN
30316,1,POINT(-68.3301489999999 -54.826747),"Universidad Nacional de Tierra del Fuego, Antártida e Islas del Atlántico Sur Sede Ushuaia",Universidad Nacional,"de Tierra del Fuego, Antártida e Islas del Atlántico Sur Sede Ushuaia",Ministerio del Interior,IGN
30346,1,POINT(-71.315662339 -41.1442611259999),Universidad Nacional del Comahue - Centro Regional Universitario Bariloche,Universidad Nacional,del Comahue - Centro Regional Universitario Bariloche,ESRI-World_Imagery 2010/Ministerio del Interior,IGN
30348,1,POINT(-71.3009602129999 -41.134262979),Universidad Nacional de Río Negro Sede Andina,Universidad Nacional,de Río Negro Sede Andina,ESRI-World_Imagery 2010/Sitio web de la institución,IGN
33259,1,POINT(-58.699416738 -34.6649808029999),Universidad Nacional del Oeste,Universidad Nacional,del Oeste,Ministerio del Interior,IGN
33323,1,POINT(-58.4252289999999 -34.595951),Universidad Kennedy Sede Cabrera,Universidad,Kennedy Sede Cabrera,Ministerio del Interior,IGN
33324,1,POINT(-58.439994 -34.6167419999999),Universidad Kennedy Sede Parral,Universidad,Kennedy Sede Parral,Ministerio del Interior,IGN
33258,1,POINT(-58.776713044 -34.6510940549999),Universidad Nacional de Moreno,Universidad Nacional,de Moreno,Ministerio del Interior,IGN
33115,1,POINT(-67.7010789999999 -53.789322),Universidad Nacional de Quilmes Sede Río Grande,Universidad Nacional,de Quilmes Sede Río Grande,Ministerio del Interior,IGN
33116,1,POINT(-68.345796 -54.8321349999999),Universidad Nacional de Quilmes Sede Ushuaia,Universidad Nacional,de Quilmes Sede Ushuaia,Ministerio del Interior,IGN
33117,1,POINT(-67.701531 -53.78041),"Universidad Nacional de Tierra del Fuego, Antártida e Islas del Atlántico Sur Sede Río Grande",Universidad Nacional,"de Tierra del Fuego, Antártida e Islas del Atlántico Sur Sede Río Grande",Ministerio del Interior,IGN
33118,1,POINT(-67.7257021729999 -53.786368394),Universidad Tecnológica Nacional Facultad Regional Tierra del Fuego,Universidad Tecnológica Nacional,Facultad Regional Tierra del Fuego,Ministerio del Interior,IGN
33119,1,POINT(-69.2141379999999 -51.646961),Universidad Nacional de Quilmes Sede Río Gallegos,Universidad Nacional,de Quilmes Sede Río Gallegos,Ministerio del Interior,IGN
33120,1,POINT(-69.2184589999999 -51.6348829999999),Universidad Tecnológica Nacional Facultad Regional Santa Cruz,Universidad Tecnológica Nacional,Facultad Regional Santa Cruz,Ministerio del Interior,IGN
33121,1,POINT(-65.198979 -26.8306249999999),Universidad Nacional de Quilmes Sede Tucumán,Universidad Nacional,de Quilmes Sede Tucumán,Ministerio del Interior,IGN
33122,1,POINT(-65.22995 -26.8388659999999),Universidad Nacional de Tucumán Facultad Arquitectura y Urbanismo,Universidad Nacional,de Tucumán Facultad Arquitectura y Urbanismo,Ministerio del Interior,IGN
33123,1,POINT(-65.231533 -26.84423),Universidad Nacional de Tucumán Facultad Ciencias Económicas,Universidad Nacional,de Tucumán Facultad Ciencias Económicas,Ministerio del Interior,IGN
33124,1,POINT(-65.229863 -26.844575),Universidad Nacional de Tucumán Facultad Ciencias Exactas y Tecnología,Universidad Nacional,de Tucumán Facultad Ciencias Exactas y Tecnología,Ministerio del Interior,IGN
33125,1,POINT(-65.210099 -26.839871),Universidad Nacional de Tucumán Facultad de Artes,Universidad Nacional,de Tucumán Facultad de Artes,Ministerio del Interior,IGN
33126,1,POINT(-65.211108 -26.836335),"Universidad Nacional de Tucumán Bioquímica, Química y Farmacia",Universidad Nacional,"de Tucumán Bioquímica, Química y Farmacia",Ministerio del Interior,IGN
33127,1,POINT(-65.2029209999999 -26.824876),Universidad Nacional de Tucumán Facultad de Derecho,Universidad Nacional,de Tucumán Facultad de Derecho,Ministerio del Interior,IGN
33128,1,POINT(-65.212113 -26.836428),Universidad Nacional de Tucumán Facultad de Medicina,Universidad Nacional,de Tucumán Facultad de Medicina,Ministerio del Interior,IGN
33129,1,POINT(-65.211763 -26.835123),Universidad Nacional de Tucumán Escuela de Enfermería,Universidad Nacional,de Tucumán Escuela de Enfermería,Ministerio del Interior,IGN
33130,1,POINT(-60.655253 -32.937422),Universidad Nacional de Quilmes Sede Rosario,Universidad Nacional,de Quilmes Sede Rosario,Ministerio del Interior,IGN
33131,1,POINT(-60.7142899999999 -31.6380169999999),Universidad Nacional de Quilmes Sede Santa Fe,Universidad Nacional,de Quilmes Sede Santa Fe,Ministerio del Interior,IGN
33132,1,POINT(-61.501976 -31.2509669999999),Universidad Nacional de Rafaela,Universidad Nacional,de Rafaela,Ministerio del Interior,IGN
33133,1,POINT(-60.636002 -32.9503119999999),Universidad Nacional de Rosario CEI,Universidad Nacional,de Rosario CEI,Ministerio del Interior,IGN
33134,1,POINT(-60.630257 -32.965006),Universidad Nacional de Rosario Ciencias Políticas,Universidad Nacional,de Rosario Ciencias Políticas,Ministerio del Interior,IGN
33135,1,POINT(-60.889648 -33.031309),Universidad Nacional de Rosario Ciencias Agrarias,Universidad Nacional,de Rosario Ciencias Agrarias,Ministerio del Interior,IGN
33136,1,POINT(-61.15762 -33.0532449999999),Universidad Nacional de Rosario Ciencias Veterinarias,Universidad Nacional,de Rosario Ciencias Veterinarias,Ministerio del Interior,IGN
33137,1,POINT(-60.6276579999999 -32.9656259999999),Universidad Nacional de Rosario Facultad de Psicología,Universidad Nacional,de Rosario Facultad de Psicología,Ministerio del Interior,IGN
33138,1,POINT(-60.673032 -31.6399769999999),Universidad Nacional del Litoral Sede Ciudad Universitaria,Universidad Nacional,del Litoral Sede Ciudad Universitaria,Ministerio del Interior,IGN
33139,1,POINT(-60.939893 -31.4402239999999),Universidad Nacional del Litoral Sede Esperanza,Universidad Nacional,del Litoral Sede Esperanza,Ministerio del Interior,IGN
33140,1,POINT(-60.708546 -31.654872),Universidad Nacional del Litoral Facultad de Ciencias Económicas,Universidad Nacional,del Litoral Facultad de Ciencias Económicas,Ministerio del Interior,IGN
33141,1,POINT(-60.704959 -31.633958),Universidad Nacional del Litoral Facultad de Ciencias Jurídicas y Sociales,Universidad Nacional,del Litoral Facultad de Ciencias Jurídicas y Sociales,Ministerio del Interior,IGN
33142,1,POINT(-59.662834 -29.1453569999999),Universidad Tecnológica Nacional Facultad Regional Reconquista,Universidad Tecnológica Nacional,Facultad Regional Reconquista,Ministerio del Interior,IGN
33143,1,POINT(-60.643655 -32.954399),Universidad Tecnológica Nacional Facultad Regional Rosario,Universidad Tecnológica Nacional,Facultad Regional Rosario,Ministerio del Interior,IGN
33144,1,POINT(-60.674934 -31.616979),Universidad Tecnológica Nacional Facultad Regional Santa Fe,Universidad Tecnológica Nacional,Facultad Regional Santa Fe,Ministerio del Interior,IGN
33145,1,POINT(-61.9489819999999 -33.741027),Universidad Tecnológica Nacional Facultad Regional Venado Tuerto,Universidad Tecnológica Nacional,Facultad Regional Venado Tuerto,Ministerio del Interior,IGN
33146,1,POINT(-65.015317 -32.3386389999999),Universidad Nacional de Los Comechingones,Universidad Nacional,de Los Comechingones,Ministerio del Interior,IGN
33147,1,POINT(-65.4048759999999 -24.796598),Universidad Nacional de Quilmes Sede Salta,Universidad Nacional,de Quilmes Sede Salta,Ministerio del Interior,IGN
33148,1,POINT(-65.411663 -24.7551159999999),Universidad Nacional de Salta Sede Salta,Universidad Nacional,de Salta Sede Salta,Ministerio del Interior,IGN
33149,1,POINT(-64.964367 -25.8061789999999),Universidad Nacional de Salta Sede Rosario de la Frontera,Universidad Nacional,de Salta Sede Rosario de la Frontera,Ministerio del Interior,IGN
33150,1,POINT(-67.9693444599999 -38.941694685),Universidad Nacional del Comahue - Facultad de Ciencias Médicas (Sede Tordos),Universidad Nacional,del Comahue - Facultad de Ciencias Médicas (Sede Tordos),IGN04/Ministerio de Educación de la Nación,IGN
33151,1,POINT(-54.483747899 -26.993660435),Universidad Nacional Alto Uruguay,Universidad Nacional,Alto Uruguay,Ministerio del Interior,IGN
33152,1,POINT(-68.870087 -32.88981),Universidad Nacional de Cuyo Facultad de Artes y Diseño,Universidad Nacional,de Cuyo Facultad de Artes y Diseño,Ministerio del Interior,IGN
33153,1,POINT(-68.872648 -33.006786),Universidad Nacional de Cuyo Facultad de Ciencias Agrarias,Universidad Nacional,de Cuyo Facultad de Ciencias Agrarias,Ministerio del Interior,IGN
33154,1,POINT(-68.326779 -34.612862),Universidad Nacional de Cuyo Facultad de Ciencias aplicadas a la Industria,Universidad Nacional,de Cuyo Facultad de Ciencias aplicadas a la Industria,Ministerio del Interior,IGN
33155,1,POINT(-68.8666219999999 -32.88357),Universidad Nacional de Cuyo Facultad de Ciencias Exactas y Naturales,Universidad Nacional,de Cuyo Facultad de Ciencias Exactas y Naturales,Ministerio del Interior,IGN
33156,1,POINT(-68.85254 -32.8959819999999),Universidad Nacional de Cuyo Facultad de  Educación,Universidad Nacional,de Cuyo Facultad de  Educación,Ministerio del Interior,IGN
33157,1,POINT(-68.853037 -32.8959379999999),Universidad Nacional de Quilmes Sede Mendoza,Universidad Nacional,de Quilmes Sede Mendoza,Ministerio del Interior,IGN
33158,1,POINT(-68.853732 -32.897149),Universidad Tecnológica Nacional Facultad Regional Mendoza,Universidad Tecnológica Nacional,Facultad Regional Mendoza,Ministerio del Interior,IGN
33159,1,POINT(-68.327981 -34.601555),Universidad Tecnológica Nacional Facultad Regional San Rafael,Universidad Tecnológica Nacional,Facultad Regional San Rafael,Ministerio del Interior,IGN
33160,1,POINT(-67.494409358 -29.164983623),Universidad Nacional de Chilecito,Universidad Nacional,de Chilecito,Ministerio del Interior,IGN
33161,1,POINT(-66.867518 -29.4330179999999),Universidad Nacional de La Rioja Sede La Rioja,Universidad Nacional,de La Rioja Sede La Rioja,Ministerio del Interior,IGN
33162,1,POINT(-66.312871 -30.368458),Universidad Nacional de La Rioja Sede Chamical,Universidad Nacional,de La Rioja Sede Chamical,Ministerio del Interior,IGN
33251,1,POINT(-58.363022884 -34.667808613),Universidad Nacional de Avellaneda Sede Arenales,Universidad Nacional,de Avellaneda Sede Arenales,Ministerio del Interior,IGN
33163,1,POINT(-68.2227109999999 -29.316347),Universidad Nacional de La Rioja Sede Villa Unión,Universidad Nacional,de La Rioja Sede Villa Unión,Ministerio del Interior,IGN
33164,1,POINT(-66.817397 -28.544591),Universidad Nacional de La Rioja Sede Aimogasta,Universidad Nacional,de La Rioja Sede Aimogasta,Ministerio del Interior,IGN
33165,1,POINT(-66.224884 -30.9533549999999),Universidad Nacional de La Rioja Sede Catuna,Universidad Nacional,de La Rioja Sede Catuna,Ministerio del Interior,IGN
33166,1,POINT(-68.205879 -28.752603),Universidad Nacional de La Rioja Delegación Vinchina,Universidad Nacional,de La Rioja Delegación Vinchina,Ministerio del Interior,IGN
33167,1,POINT(-66.238096 -31.572043),Universidad Nacional de La Rioja Delegación Académica Ulapes,Universidad Nacional,de La Rioja Delegación Académica Ulapes,Ministerio del Interior,IGN
33168,1,POINT(-66.528445 -30.506537),Universidad Nacional de La Rioja Delegación Tama,Universidad Nacional,de La Rioja Delegación Tama,Ministerio del Interior,IGN
33169,1,POINT(-66.805449 -29.4072879999999),Universidad Tecnológica Nacional Facultad Regional La Rioja,Universidad Tecnológica Nacional,Facultad Regional La Rioja,Ministerio del Interior,IGN
33170,1,POINT(-58.1998639999999 -26.192465),Universidad Nacional de Formosa Facultad de Ciencias de la Salud,Universidad Nacional,de Formosa Facultad de Ciencias de la Salud,Ministerio del Interior,IGN
33171,1,POINT(-60.5303989999999 -31.7262009999999),Universidad Nacional de Entre Ríos Facultad de Ciencias de la Educación,Universidad Nacional,de Entre Ríos Facultad de Ciencias de la Educación,Ministerio del Interior,IGN
33172,1,POINT(-58.2305643399999 -32.482292156),Universidad Nacional de Entre Ríos Facultad de Ciencias de la Salud,Universidad Nacional,de Entre Ríos Facultad de Ciencias de la Salud,Ministerio del Interior,IGN
33173,1,POINT(-60.516363 -31.737851),Universidad Nacional de Entre Ríos Facultad de Trabajo Social,Universidad Nacional,de Entre Ríos Facultad de Trabajo Social,Ministerio del Interior,IGN
33174,1,POINT(-58.229597 -32.496157),Universidad Tecnológica Nacional Facultad Regional Concepción del Uruguay,Universidad Tecnológica Nacional,Facultad Regional Concepción del Uruguay,Ministerio del Interior,IGN
33175,1,POINT(-58.0121569999999 -31.3941359999999),Universidad Tecnológica Nacional Facultad Regional Concordia,Universidad Tecnológica Nacional,Facultad Regional Concordia,Ministerio del Interior,IGN
33176,1,POINT(-60.5040739999999 -31.7502479999999),Universidad Tecnológica Nacional Facultad Regional Paraná,Universidad Tecnológica Nacional,Facultad Regional Paraná,Ministerio del Interior,IGN
33177,1,POINT(-58.8344509999999 -27.471102),Universidad Nacional de Quilmes Sede Corrientes,Universidad Nacional,de Quilmes Sede Corrientes,Ministerio del Interior,IGN
33178,1,POINT(-64.252851 -31.433028),Universidad de la Defensa Nacional Centro Regional Universitario Córdoba,Universidad,de la Defensa Nacional Centro Regional Universitario Córdoba,Ministerio del Interior,IGN
33179,1,POINT(-64.1868489999999 -31.4182519999999),Universidad Nacional de Córdoba Facultad de Derecho,Universidad Nacional,de Córdoba Facultad de Derecho,Ministerio del Interior,IGN
33180,1,POINT(-64.1931657969999 -31.442249997),Universidad Tecnológica Nacional Facultad Regional Córdoba,Universidad Tecnológica Nacional,Facultad Regional Córdoba,Ministerio del Interior,IGN
33181,1,POINT(-58.9790475299999 -27.4511201239999),Universidad Tecnológica Nacional Facultad Regional Resistencia,Universidad Tecnológica Nacional,Facultad Regional Resistencia,Ministerio del Interior,IGN
33182,1,POINT(-62.111351578 -31.4202948249999),Universidad Tecnológica Nacional Facultad Regional San Francisco,Universidad Tecnológica Nacional,Facultad Regional San Francisco,Ministerio del Interior,IGN
33183,1,POINT(-63.2169205069999 -32.409306428),Universidad Tecnológica Nacional Facultad Regional Villa María,Universidad Tecnológica Nacional,Facultad Regional Villa María,Ministerio del Interior,IGN
33184,1,POINT(-65.058711831 -42.7580112219999),Universidad Tecnológica Nacional Facultad Regional Chubut,Universidad Tecnológica Nacional,Facultad Regional Chubut,Ministerio del Interior,IGN
33185,1,POINT(-57.5428379799999 -38.049195181),Universidad Tecnológica Nacional Facultad Regional Mar del Plata,Universidad Tecnológica Nacional,Facultad Regional Mar del Plata,Ministerio del Interior,IGN
33186,1,POINT(-67.4637717959999 -45.8245859589999),Universidad de la Patagonia San Juan Bosco Sede Comodoro Rivadavia,Universidad,de la Patagonia San Juan Bosco Sede Comodoro Rivadavia,Ministerio del Interior,IGN
33187,1,POINT(-64.9350026179999 -40.728497567),Universidad Nacional del Comahue - Escuela Superior de Ciencias Marinas,Universidad Nacional,del Comahue - Escuela Superior de Ciencias Marinas,Ministerio del Interior,IGN
33188,1,POINT(-63.0083458289999 -40.8051151669999),Universidad Nacional del Comahue - Centro Regional Universitario Zona Atlántica,Universidad Nacional,del Comahue - Centro Regional Universitario Zona Atlántica,Ministerio del Interior,IGN
33189,1,POINT(-62.9938582999999 -40.8089755999999),Universidad Nacional de Río Negro,Universidad Nacional,de Río Negro,Ministerio del Interior,IGN
33190,1,POINT(-71.5361579999999 -41.9654173),Universidad Nacional de Río Negro Sede Andina El Bolsón,Universidad Nacional,de Río Negro Sede Andina El Bolsón,Ministerio del Interior,IGN
33191,1,POINT(-62.9787345249999 -40.8241315839999),Universidad Nacional de Río Negro Sede Atlántica,Universidad Nacional,de Río Negro Sede Atlántica,Ministerio del Interior,IGN
33192,1,POINT(-67.576350539 -39.036679239),Universidad Nacional de Río Negro Sede Alto Valle y Valle del Medio General Roca,Universidad Nacional,de Río Negro Sede Alto Valle y Valle del Medio General Roca,IGN04/Mapa Educativo,IGN
33193,1,POINT(-67.994575318 -38.933112949),Universidad Nacional de Río Negro Sede Alto Valle y Valle Medio Cipolletti,Universidad Nacional,de Río Negro Sede Alto Valle y Valle Medio Cipolletti,IGN04/Ministerio de Educación de la Nación,IGN
33194,1,POINT(-64.094523055 -38.992248649),Universidad Nacional de Río Negro Sede Alto Valle y Valle Medio Río Colorado,Universidad Nacional,de Río Negro Sede Alto Valle y Valle Medio Río Colorado,Ministerio del Interior,IGN
33195,1,POINT(-67.0813203239999 -39.095859542),Universidad Nacional de Río Negro Sede Alto Valle y Valle Medio Villa Regina,Universidad Nacional,de Río Negro Sede Alto Valle y Valle Medio Villa Regina,Ministerio del Interior,IGN
33196,1,POINT(-65.6584172 -39.290930381),Universidad Nacional de Río Negro Sede Alto Valle y Valle Medio Choele Choel,Universidad Nacional,de Río Negro Sede Alto Valle y Valle Medio Choele Choel,Ministerio del Interior,IGN
33197,1,POINT(-64.2896317 -36.6203682),Universidad Nacional de La Pampa Facultad de Ciencias Humanas Sede Santa Rosa,Universidad Nacional,de La Pampa Facultad de Ciencias Humanas Sede Santa Rosa,Ministerio del Interior,IGN
33198,1,POINT(-63.770503511 -35.668297498),Universidad Nacional de La Pampa Facultad de Ciencias Humanas Sede General Pico,Universidad Nacional,de La Pampa Facultad de Ciencias Humanas Sede General Pico,Ministerio del Interior,IGN
33199,1,POINT(-68.8766679999999 -32.878341),Universidad Nacional de Cuyo Faculta de Ingeniería,Universidad Nacional,de Cuyo Faculta de Ingeniería,Ministerio del Interior,IGN
33200,1,POINT(-68.8790845999999 -32.8785255),Universidad Nacional de Cuyo Facultad de Filosofìa y Letras,Universidad Nacional,de Cuyo Facultad de Filosofìa y Letras,Ministerio del Interior,IGN
33201,1,POINT(-68.8756476999999 -32.8776321999999),Universidad Nacional de Cuyo Facultad de Derecho,Universidad Nacional,de Cuyo Facultad de Derecho,Ministerio del Interior,IGN
33202,1,POINT(-68.8790845999999 -32.8785255),Universidad Nacional de Cuyo Facultad de Ciencias Políticas y Sociales,Universidad Nacional,de Cuyo Facultad de Ciencias Políticas y Sociales,Ministerio del Interior,IGN
33203,1,POINT(-68.874753701 -32.882980145),Universidad Nacional de Cuyo Facultad de Ciencias Médicas,Universidad Nacional,de Cuyo Facultad de Ciencias Médicas,Ministerio del Interior,IGN
33204,1,POINT(-68.878097 -32.882398),Universidad Nacional de Cuyo Facultad de Ciencias Económicas,Universidad Nacional,de Cuyo Facultad de Ciencias Económicas,Ministerio del Interior,IGN
33205,1,POINT(-68.5289771 -31.537798601),"Universidad Nacional de San Juan Facultad de Filosofía, Humanidades y Artes",Universidad Nacional,"de San Juan Facultad de Filosofía, Humanidades y Artes",Ministerio del Interior,IGN
33206,1,POINT(-66.3058374999999 -33.1511495999999),Universidad de La Punta,Universidad,de La Punta,Ministerio del Interior,IGN
33207,1,POINT(-65.7834232819999 -28.4598150059999),Universidad Nacional de Catamarca Facultad de Ciencias Agrarias,Universidad Nacional,de Catamarca Facultad de Ciencias Agrarias,Ministerio del Interior,IGN
33208,1,POINT(-65.78268019 -28.459407233),Universidad Nacional de Catamarca Facultad de Derecho,Universidad Nacional,de Catamarca Facultad de Derecho,Ministerio del Interior,IGN
33209,1,POINT(-64.2952323 -27.808155697),Universidad Nacional de Santiago del Estero Escuela de Artes y Oficios,Universidad Nacional,de Santiago del Estero Escuela de Artes y Oficios,Ministerio del Interior,IGN
33210,1,POINT(-64.2508513 -27.8011789),Universidad Nacional de Santiago del Estero,Universidad Nacional,de Santiago del Estero,Ministerio del Interior,IGN
33211,1,POINT(-65.1844812909999 -26.8324103369999),Universidad Nacional de Tucumán Facultad de Psicología,Universidad Nacional,de Tucumán Facultad de Psicología,Ministerio del Interior,IGN
33212,1,POINT(-65.2029208289999 -26.8248763939999),Universidad Nacional de Tucumán Facultad de Derecho y Ciencias Sociales,Universidad Nacional,de Tucumán Facultad de Derecho y Ciencias Sociales,Ministerio del Interior,IGN
33213,1,POINT(-65.2210699999999 -26.831409),Universidad Nacional de Tucumán Facultad de Ciencias Naturales,Universidad Nacional,de Tucumán Facultad de Ciencias Naturales,Ministerio del Interior,IGN
33214,1,POINT(-58.1996273 -26.1919621),Universidad Nacional de Formosa Facultad de Recursos Naturales,Universidad Nacional,de Formosa Facultad de Recursos Naturales,Ministerio del Interior,IGN
33215,1,POINT(-58.1995724999999 -26.1937154999999),"Universidad Nacional de Formosa Facultad de Administración, Economía y Negocios",Universidad Nacional,"de Formosa Facultad de Administración, Economía y Negocios",Ministerio del Interior,IGN
33216,1,POINT(-58.2017921999999 -26.1926963999999),Universidad Nacional de Formosa Facultad de Humanidades,Universidad Nacional,de Formosa Facultad de Humanidades,Ministerio del Interior,IGN
33217,1,POINT(-60.727688174 -27.575080154),Universidad Nacional de Nordeste Extensión Áulica Villa Ángela,Universidad Nacional,de Nordeste Extensión Áulica Villa Ángela,Ministerio del Interior,IGN
33218,1,POINT(-58.9855153999999 -27.4633842),Universidad Nacional de Nordeste Sede Resistencia,Universidad Nacional,de Nordeste Sede Resistencia,Ministerio del Interior,IGN
33219,1,POINT(-58.832341 -27.462168),Universidad Nacional del Nordeste Instituto de Ciencias Criminalísticas y Criminología,Universidad Nacional,del Nordeste Instituto de Ciencias Criminalísticas y Criminología,Ministerio del Interior,IGN
33220,1,POINT(-59.2633621579999 -29.139218843),Universidad Nacional de Nordeste Centro Regional Goya,Universidad Nacional,de Nordeste Centro Regional Goya,Ministerio del Interior,IGN
33221,1,POINT(-59.6420701989999 -29.145717831),Universidad Nacional del Litoral Centro Universitario Reconquista,Universidad Nacional,del Litoral Centro Universitario Reconquista,Ministerio del Interior,IGN
33222,1,POINT(-58.7978057 -34.6459045999999),Universidad de Buenos Aires Ciclo Básico Común Sede 28 Centro Universitario Regional Oeste,Universidad,de Buenos Aires Ciclo Básico Común Sede 28 Centro Universitario Regional Oeste,Ministerio del Interior,IGN
33223,1,POINT(-58.3846465 -34.6204726999999),Universidad de Buenos Aires Facultad de Ciencias Sociales Sede Constitución,Universidad,de Buenos Aires Facultad de Ciencias Sociales Sede Constitución,Ministerio del Interior,IGN
33224,1,POINT(-59.4423776529999 -34.647808315),Universidad de Buenos Aires Ciclo Básico Común Sede 21 Centro Universitario Regional Mercedes,Universidad,de Buenos Aires Ciclo Básico Común Sede 21 Centro Universitario Regional Mercedes,Ministerio del Interior,IGN
33225,1,POINT(-61.2089271999999 -32.0394613999999),Universidad Nacional del Litoral Centro Universitario Gálvez,Universidad Nacional,del Litoral Centro Universitario Gálvez,Ministerio del Interior,IGN
33226,1,POINT(-61.4890390689999 -31.252069736),Universidad Nacional del Litoral Sede Rafaela - Sunchales,Universidad Nacional,del Litoral Sede Rafaela - Sunchales,Ministerio del Interior,IGN
33227,1,POINT(-60.4744693489999 -35.125638336),Universidad de Buenos Aires Ciclo Básico Común Sede 30 Centro Universitario Regional Bragado,Universidad,de Buenos Aires Ciclo Básico Común Sede 30 Centro Universitario Regional Bragado,Ministerio del Interior,IGN
33228,1,POINT(-59.097303477 -35.1809971239999),Universidad de Buenos Aires Ciclo Básico Común Sede 34 Centro Universitario Regional Lobos,Universidad,de Buenos Aires Ciclo Básico Común Sede 34 Centro Universitario Regional Lobos,Ministerio del Interior,IGN
33229,1,POINT(-58.9628094829999 -34.166964811),Universidad de Buenos Aires Ciclo Básico Común Sede 42 Centro Universitario Regional Campana,Universidad,de Buenos Aires Ciclo Básico Común Sede 42 Centro Universitario Regional Campana,Ministerio del Interior,IGN
33230,1,POINT(-58.5201694789999 -34.5317763959999),Universidad de Buenos Aires Ciclo Básico Común Sede 41 Centro Universitario Regional Vicente López,Universidad,de Buenos Aires Ciclo Básico Común Sede 41 Centro Universitario Regional Vicente López,Ministerio del Interior,IGN
33231,1,POINT(-58.432300867 -34.6057974079999),Universidad de Buenos Aires Ciclo Básico Común Sede 07 Profesor Alberto J. Fernández,Universidad,de Buenos Aires Ciclo Básico Común Sede 07 Profesor Alberto J. Fernández,Ministerio del Interior,IGN
33232,1,POINT(-58.4827187 -34.5959447),Universidad de Buenos Aires Ciclo Básico Común Sede 10 Centro Universitario Regional Paternal,Universidad,de Buenos Aires Ciclo Básico Común Sede 10 Centro Universitario Regional Paternal,Ministerio del Interior,IGN
33233,1,POINT(-59.5040494039999 -33.8062932889999),Universidad de Buenos Aires Ciclo Básico Común Sede 27 Centro Universitario Regional Baradero,Universidad,de Buenos Aires Ciclo Básico Común Sede 27 Centro Universitario Regional Baradero,Ministerio del Interior,IGN
33234,1,POINT(-58.7155428039999 -34.544969109),Universidad de Buenos Aires Ciclo Básico Común Sede 29 Centro Universitario Regional San Miguel,Universidad,de Buenos Aires Ciclo Básico Común Sede 29 Centro Universitario Regional San Miguel,Ministerio del Interior,IGN
33235,1,POINT(-60.0325543499999 -34.9091127949999),Universidad de Buenos Aires Ciclo Básico Común Sede 31 Centro Universitario Regional Chivilcoy,Universidad,de Buenos Aires Ciclo Básico Común Sede 31 Centro Universitario Regional Chivilcoy,Ministerio del Interior,IGN
33236,1,POINT(-58.567672237 -34.426827607),Universidad de Buenos Aires Ciclo Básico Común Sede 33 Centro Universitario Regional Tigre,Universidad,de Buenos Aires Ciclo Básico Común Sede 33 Centro Universitario Regional Tigre,Ministerio del Interior,IGN
33237,1,POINT(-56.698592842 -36.540921022),Universidad de Buenos Aires Ciclo Básico Común Sede 35 Centro Universitario Regional de la Costa,Universidad,de Buenos Aires Ciclo Básico Común Sede 35 Centro Universitario Regional de la Costa,Ministerio del Interior,IGN
33238,1,POINT(-58.4647424519999 -34.679190819),Universidad de Buenos Aires Ciclo Básico Común Sede 39 Lugano,Universidad,de Buenos Aires Ciclo Básico Común Sede 39 Lugano,Ministerio del Interior,IGN
33239,1,POINT(-58.4063988 -34.6001767999999),Universidad Nacional de Luján Sede Capital,Universidad Nacional,de Luján Sede Capital,Ministerio del Interior,IGN
33240,1,POINT(-59.088766353 -34.577413522),Universidad Nacional de Luján Sede Central,Universidad Nacional,de Luján Sede Central,Ministerio del Interior,IGN
33241,1,POINT(-57.549779351 -37.986303848),Universidad Nacional de Mar del Plata Escuela Superior de Medicina Sede Ayacucho,Universidad Nacional,de Mar del Plata Escuela Superior de Medicina Sede Ayacucho,Ministerio del Interior,IGN
33242,1,POINT(-57.553541142 -38.0008995859999),Universidad Nacional de Mar del Plata Escuela Superior de Medicina Sede La Rioja,Universidad Nacional,de Mar del Plata Escuela Superior de Medicina Sede La Rioja,Ministerio del Interior,IGN
33243,1,POINT(-60.274354694 -38.3819251849999),Universidad Nacional de Mar del Plata Centro Regional de Estudios Superiores Tres Arroyos,Universidad Nacional,de Mar del Plata Centro Regional de Estudios Superiores Tres Arroyos,Ministerio del Interior,IGN
33244,1,POINT(-58.892699529 -34.4374021849999),Universidad Pedagógica Nacional Sede Pilar,Universidad,Pedagógica Nacional Sede Pilar,Ministerio del Interior,IGN
33245,1,POINT(-58.8372778 -34.4858260999999),Universidad Pedagógica Nacional Extensión Áulica Derqui,Universidad,Pedagógica Nacional Extensión Áulica Derqui,Ministerio del Interior,IGN
33246,1,POINT(-58.0447531999999 -34.8694211),Universidad Pedagógica Nacional Extensión Áulica La Plata,Universidad,Pedagógica Nacional Extensión Áulica La Plata,Ministerio del Interior,IGN
