gid,entidad,geom,fna,gna,nam,fdc,sag
36528,1,POINT(-54.611104 -26.4151879999999),Universidad Gaston Dachary Sede Eldorado,Universidad,Gaston Dachary Sede Eldorado,Ministerio del Interior,IGN
36529,1,POINT(-58.9823709999999 -27.4494109999999),Universidad Gaston Dachary Sede Resistencia,Universidad,Gaston Dachary Sede Resistencia,Ministerio del Interior,IGN
36530,1,POINT(-58.3795249999999 -34.61414),Universidad ISALUD Sede Académica,Universidad,ISALUD Sede Académica,Ministerio del Interior,IGN
36531,1,POINT(-58.3782669999999 -34.6140379999999),Universidad ISALUD Sede Académica,Universidad,ISALUD Sede Académica,Ministerio del Interior,IGN
36532,1,POINT(-58.37701 -34.6139489999999),Universidad ISALUD Sede Académica,Universidad,ISALUD Sede Académica,Ministerio del Interior,IGN
36533,1,POINT(-68.807802 -32.8995869999999),Universidad Juan Agustín Maza Sede Gran Mendoza,Universidad,Juan Agustín Maza Sede Gran Mendoza,Ministerio del Interior,IGN
36534,1,POINT(-68.8456839999999 -32.890644),Universidad Juan Agustín Maza Sede Centro,Universidad,Juan Agustín Maza Sede Centro,Ministerio del Interior,IGN
36535,1,POINT(-69.0123139999999 -33.57737),Universidad Juan Agustín Maza Sede Valle de Uco,Universidad,Juan Agustín Maza Sede Valle de Uco,Ministerio del Interior,IGN
36536,1,POINT(-68.477268 -33.0918399999999),Universidad Juan Agustín Maza Sede Este,Universidad,Juan Agustín Maza Sede Este,Ministerio del Interior,IGN
36537,1,POINT(-68.332893 -34.619946),Universidad Juan Agustín Maza Sede Sur,Universidad,Juan Agustín Maza Sede Sur,Ministerio del Interior,IGN
36538,1,POINT(-68.730667 -32.854948),Universidad Juan Agustín Maza Sede Norte,Universidad,Juan Agustín Maza Sede Norte,Ministerio del Interior,IGN
36539,1,POINT(-58.4409909999999 -34.610532),Universidad Maimonides Sede Académica,Universidad,Maimonides Sede Académica,Ministerio del Interior,IGN
36540,1,POINT(-58.3957849999999 -34.60579),Universidad Metropolitana para la Educación y el Trabajo Sede Académica,Universidad,Metropolitana para la Educación y el Trabajo Sede Académica,Ministerio del Interior,IGN
36541,1,POINT(-62.271851 -38.717887),Universidad Salesiana Rectorado,Universidad,Salesiana Rectorado,Ministerio del Interior,IGN
36542,1,POINT(-62.284145 -38.727407),Universidad Salesiana Sede Académica,Universidad,Salesiana Sede Académica,Ministerio del Interior,IGN
36543,1,POINT(-58.446501 -34.5471229999999),Universidad Torcuato Di Tella Sede Académica,Universidad,Torcuato Di Tella Sede Académica,Ministerio del Interior,IGN
36544,1,POINT(-58.4475449999999 -34.5481559999999),Universidad Torcuato Di Tella Sede Académica,Universidad,Torcuato Di Tella Sede Académica,Ministerio del Interior,IGN
36545,1,POINT(-58.4267139999999 -34.6073529999999),Instituto Universitario Hospital Italiano,Instituto Universitario,Hospital Italiano,Ministerio del Interior,IGN
36546,1,POINT(-58.368195 -34.6028469999999),Instituto Tecnológico de Buenos Aires Sede Central,Instituto Tecnológico,de Buenos Aires Sede Central,Ministerio del Interior,IGN
36547,1,POINT(-58.371183 -34.6026449999999),Instituto Tecnológico de Buenos Aires Sede Escuela de Postgrado,Instituto Tecnológico,de Buenos Aires Sede Escuela de Postgrado,Ministerio del Interior,IGN
36548,1,POINT(-58.4010689999999 -34.641424),Instituto Tecnológico de Buenos Aires Sede Distrito Tecnológico,Instituto Tecnológico,de Buenos Aires Sede Distrito Tecnológico,Ministerio del Interior,IGN
